Id,Id2,Geography,Retirement_Income
0500000US01001,1001,"Autauga County, Alabama",5001
0500000US01003,1003,"Baldwin County, Alabama",17616
0500000US01005,1005,"Barbour County, Alabama",1857
0500000US01007,1007,"Bibb County, Alabama",1558
0500000US01009,1009,"Blount County, Alabama",4090
0500000US01011,1011,"Bullock County, Alabama",728
0500000US01013,1013,"Butler County, Alabama",1334
0500000US01015,1015,"Calhoun County, Alabama",11185
0500000US01017,1017,"Chambers County, Alabama",2756
0500000US01019,1019,"Cherokee County, Alabama",2713
0500000US01021,1021,"Chilton County, Alabama",3415
0500000US01023,1023,"Choctaw County, Alabama",1539
0500000US01025,1025,"Clarke County, Alabama",1820
0500000US01027,1027,"Clay County, Alabama",1150
0500000US01029,1029,"Cleburne County, Alabama",1027
0500000US01031,1031,"Coffee County, Alabama",5173
0500000US01033,1033,"Colbert County, Alabama",5668
0500000US01035,1035,"Conecuh County, Alabama",830
0500000US01037,1037,"Coosa County, Alabama",1141
0500000US01039,1039,"Covington County, Alabama",3397
0500000US01041,1041,"Crenshaw County, Alabama",918
0500000US01043,1043,"Cullman County, Alabama",5877
0500000US01045,1045,"Dale County, Alabama",4726
0500000US01047,1047,"Dallas County, Alabama",3045
0500000US01049,1049,"DeKalb County, Alabama",4455
0500000US01051,1051,"Elmore County, Alabama",7725
0500000US01053,1053,"Escambia County, Alabama",2542
0500000US01055,1055,"Etowah County, Alabama",9128
0500000US01057,1057,"Fayette County, Alabama",1819
0500000US01059,1059,"Franklin County, Alabama",2636
0500000US01061,1061,"Geneva County, Alabama",2259
0500000US01063,1063,"Greene County, Alabama",681
0500000US01065,1065,"Hale County, Alabama",1176
0500000US01067,1067,"Henry County, Alabama",1443
0500000US01069,1069,"Houston County, Alabama",7800
0500000US01071,1071,"Jackson County, Alabama",4225
0500000US01073,1073,"Jefferson County, Alabama",49077
0500000US01075,1075,"Lamar County, Alabama",1247
0500000US01077,1077,"Lauderdale County, Alabama",9735
0500000US01079,1079,"Lawrence County, Alabama",3395
0500000US01081,1081,"Lee County, Alabama",8660
0500000US01083,1083,"Limestone County, Alabama",7482
0500000US01085,1085,"Lowndes County, Alabama",838
0500000US01087,1087,"Macon County, Alabama",1861
0500000US01089,1089,"Madison County, Alabama",31021
0500000US01091,1091,"Marengo County, Alabama",2024
0500000US01093,1093,"Marion County, Alabama",2786
0500000US01095,1095,"Marshall County, Alabama",7624
0500000US01097,1097,"Mobile County, Alabama",32419
0500000US01099,1099,"Monroe County, Alabama",1526
