Id,Id2,Geography,Women_Births_12_Months
0500000US01001,1001,"Autauga County, Alabama",811
0500000US01003,1003,"Baldwin County, Alabama",2322
0500000US01005,1005,"Barbour County, Alabama",323
0500000US01007,1007,"Bibb County, Alabama",198
0500000US01009,1009,"Blount County, Alabama",881
0500000US01011,1011,"Bullock County, Alabama",93
0500000US01015,1015,"Calhoun County, Alabama",1252
0500000US01017,1017,"Chambers County, Alabama",338
0500000US01019,1019,"Cherokee County, Alabama",253
0500000US01021,1021,"Chilton County, Alabama",605
0500000US01023,1023,"Choctaw County, Alabama",124
0500000US01025,1025,"Clarke County, Alabama",153
0500000US01027,1027,"Clay County, Alabama",153
0500000US01029,1029,"Cleburne County, Alabama",140
0500000US01031,1031,"Coffee County, Alabama",581
0500000US01033,1033,"Colbert County, Alabama",456
0500000US01037,1037,"Coosa County, Alabama",57
0500000US01041,1041,"Crenshaw County, Alabama",261
0500000US01043,1043,"Cullman County, Alabama",706
0500000US01045,1045,"Dale County, Alabama",570
0500000US01047,1047,"Dallas County, Alabama",851
0500000US01049,1049,"DeKalb County, Alabama",1050
0500000US01051,1051,"Elmore County, Alabama",1187
0500000US01055,1055,"Etowah County, Alabama",1031
0500000US01057,1057,"Fayette County, Alabama",207
0500000US01059,1059,"Franklin County, Alabama",234
0500000US01061,1061,"Geneva County, Alabama",326
0500000US01063,1063,"Greene County, Alabama",136
0500000US01065,1065,"Hale County, Alabama",317
0500000US01067,1067,"Henry County, Alabama",271
0500000US01069,1069,"Houston County, Alabama",1397
0500000US01071,1071,"Jackson County, Alabama",459
0500000US01073,1073,"Jefferson County, Alabama",9142
0500000US01075,1075,"Lamar County, Alabama",224
0500000US01077,1077,"Lauderdale County, Alabama",1117
0500000US01079,1079,"Lawrence County, Alabama",371
0500000US01081,1081,"Lee County, Alabama",1905
0500000US01083,1083,"Limestone County, Alabama",1072
0500000US01085,1085,"Lowndes County, Alabama",93
0500000US01087,1087,"Macon County, Alabama",150
0500000US01089,1089,"Madison County, Alabama",4406
0500000US01091,1091,"Marengo County, Alabama",215
0500000US01093,1093,"Marion County, Alabama",275
0500000US01095,1095,"Marshall County, Alabama",1291
0500000US01097,1097,"Mobile County, Alabama",5274
0500000US01099,1099,"Monroe County, Alabama",297
0500000US01101,1101,"Montgomery County, Alabama",3293
0500000US01103,1103,"Morgan County, Alabama",1333
0500000US01105,1105,"Perry County, Alabama",112
0500000US01107,1107,"Pickens County, Alabama",277
0500000US01109,1109,"Pike County, Alabama",606
0500000US01111,1111,"Randolph County, Alabama",285
0500000US01113,1113,"Russell County, Alabama",900
0500000US01115,1115,"St. Clair County, Alabama",975
0500000US01117,1117,"Shelby County, Alabama",2280
0500000US01119,1119,"Sumter County, Alabama",67
0500000US01121,1121,"Talladega County, Alabama",864
0500000US01123,1123,"Tallapoosa County, Alabama",492
0500000US01125,1125,"Tuscaloosa County, Alabama",3078
0500000US01127,1127,"Walker County, Alabama",863
0500000US01129,1129,"Washington County, Alabama",226
0500000US01131,1131,"Wilcox County, Alabama",129
0500000US01133,1133,"Winston County, Alabama",294
0500000US02013,2013,"Aleutians East Borough, Alaska",23
0500000US02016,2016,"Aleutians West Census Area, Alaska",53
0500000US02020,2020,"Anchorage Municipality, Alaska",4580
0500000US02050,2050,"Bethel Census Area, Alaska",382
0500000US02060,2060,"Bristol Bay Borough, Alaska",3
0500000US02068,2068,"Denali Borough, Alaska",36
0500000US02070,2070,"Dillingham Census Area, Alaska",133
0500000US02090,2090,"Fairbanks North Star Borough, Alaska",1817
0500000US02100,2100,"Haines Borough, Alaska",28
0500000US02105,2105,"Hoonah-Angoon Census Area, Alaska",24
0500000US02110,2110,"Juneau City and Borough, Alaska",439
0500000US02122,2122,"Kenai Peninsula Borough, Alaska",674
0500000US02130,2130,"Ketchikan Gateway Borough, Alaska",152
0500000US02150,2150,"Kodiak Island Borough, Alaska",217
0500000US02158,2158,"Kusilvak Census Area, Alaska",213
0500000US02164,2164,"Lake and Peninsula Borough, Alaska",20
0500000US02170,2170,"Matanuska-Susitna Borough, Alaska",1084
0500000US02180,2180,"Nome Census Area, Alaska",253
0500000US02185,2185,"North Slope Borough, Alaska",183
0500000US02188,2188,"Northwest Arctic Borough, Alaska",217
0500000US02195,2195,"Petersburg Borough, Alaska",33
0500000US02198,2198,"Prince of Wales-Hyder Census Area, Alaska",112
0500000US02220,2220,"Sitka City and Borough, Alaska",64
0500000US02230,2230,"Skagway Municipality, Alaska",12
0500000US02240,2240,"Southeast Fairbanks Census Area, Alaska",104
0500000US02261,2261,"Valdez-Cordova Census Area, Alaska",111
0500000US02275,2275,"Wrangell City and Borough, Alaska",31
0500000US02282,2282,"Yakutat City and Borough, Alaska",13
0500000US02290,2290,"Yukon-Koyukuk Census Area, Alaska",75
0500000US04001,4001,"Apache County, Arizona",1072
0500000US04003,4003,"Cochise County, Arizona",1445
0500000US04005,4005,"Coconino County, Arizona",1890
0500000US04007,4007,"Gila County, Arizona",574
0500000US04009,4009,"Graham County, Arizona",741
0500000US04011,4011,"Greenlee County, Arizona",164
0500000US04012,4012,"La Paz County, Arizona",145
0500000US04013,4013,"Maricopa County, Arizona",53136
0500000US04015,4015,"Mohave County, Arizona",1652
0500000US04017,4017,"Navajo County, Arizona",1800
0500000US04019,4019,"Pima County, Arizona",12679
0500000US04021,4021,"Pinal County, Arizona",4575
0500000US04023,4023,"Santa Cruz County, Arizona",719
0500000US04025,4025,"Yavapai County, Arizona",1852
0500000US04027,4027,"Yuma County, Arizona",2811
0500000US05001,5001,"Arkansas County, Arkansas",290
0500000US05003,5003,"Ashley County, Arkansas",251
0500000US05005,5005,"Baxter County, Arkansas",338
0500000US05007,5007,"Benton County, Arkansas",3369
0500000US05009,5009,"Boone County, Arkansas",731
0500000US05011,5011,"Bradley County, Arkansas",125
0500000US05013,5013,"Calhoun County, Arkansas",33
0500000US05015,5015,"Carroll County, Arkansas",353
0500000US05017,5017,"Chicot County, Arkansas",207
0500000US05019,5019,"Clark County, Arkansas",230
0500000US05021,5021,"Clay County, Arkansas",284
0500000US05023,5023,"Cleburne County, Arkansas",197
0500000US05025,5025,"Cleveland County, Arkansas",66
0500000US05027,5027,"Columbia County, Arkansas",420
0500000US05029,5029,"Conway County, Arkansas",267
0500000US05031,5031,"Craighead County, Arkansas",1322
0500000US05033,5033,"Crawford County, Arkansas",846
0500000US05035,5035,"Crittenden County, Arkansas",1005
0500000US05037,5037,"Cross County, Arkansas",152
0500000US05039,5039,"Dallas County, Arkansas",28
0500000US05041,5041,"Desha County, Arkansas",160
0500000US05043,5043,"Drew County, Arkansas",197
0500000US05045,5045,"Faulkner County, Arkansas",1550
0500000US05047,5047,"Franklin County, Arkansas",291
0500000US05049,5049,"Fulton County, Arkansas",185
0500000US05051,5051,"Garland County, Arkansas",803
0500000US05053,5053,"Grant County, Arkansas",229
0500000US05055,5055,"Greene County, Arkansas",584
0500000US05057,5057,"Hempstead County, Arkansas",307
0500000US05059,5059,"Hot Spring County, Arkansas",274
0500000US05061,5061,"Howard County, Arkansas",174
0500000US05063,5063,"Independence County, Arkansas",370
0500000US05065,5065,"Izard County, Arkansas",114
0500000US05067,5067,"Jackson County, Arkansas",232
0500000US05069,5069,"Jefferson County, Arkansas",819
0500000US05071,5071,"Johnson County, Arkansas",499
0500000US05073,5073,"Lafayette County, Arkansas",53
0500000US05075,5075,"Lawrence County, Arkansas",221
0500000US05077,5077,"Lee County, Arkansas",221
0500000US05079,5079,"Lincoln County, Arkansas",196
0500000US05081,5081,"Little River County, Arkansas",73
0500000US05083,5083,"Logan County, Arkansas",401
0500000US05085,5085,"Lonoke County, Arkansas",1214
0500000US05087,5087,"Madison County, Arkansas",109
0500000US05089,5089,"Marion County, Arkansas",169
0500000US05091,5091,"Miller County, Arkansas",749
0500000US05093,5093,"Mississippi County, Arkansas",784
0500000US05095,5095,"Monroe County, Arkansas",157
0500000US05097,5097,"Montgomery County, Arkansas",72
0500000US05099,5099,"Nevada County, Arkansas",92
0500000US05101,5101,"Newton County, Arkansas",53
0500000US05103,5103,"Ouachita County, Arkansas",337
0500000US05105,5105,"Perry County, Arkansas",61
0500000US05107,5107,"Phillips County, Arkansas",324
0500000US05109,5109,"Pike County, Arkansas",203
0500000US05111,5111,"Poinsett County, Arkansas",432
0500000US05113,5113,"Polk County, Arkansas",279
0500000US05115,5115,"Pope County, Arkansas",793
0500000US05117,5117,"Prairie County, Arkansas",128
0500000US05119,5119,"Pulaski County, Arkansas",4961
0500000US05121,5121,"Randolph County, Arkansas",276
0500000US05123,5123,"St. Francis County, Arkansas",375
0500000US05125,5125,"Saline County, Arkansas",1345
0500000US05127,5127,"Scott County, Arkansas",80
0500000US05129,5129,"Searcy County, Arkansas",64
0500000US05131,5131,"Sebastian County, Arkansas",1911
0500000US05133,5133,"Sevier County, Arkansas",225
0500000US05135,5135,"Sharp County, Arkansas",212
0500000US05137,5137,"Stone County, Arkansas",110
0500000US05139,5139,"Union County, Arkansas",503
0500000US05141,5141,"Van Buren County, Arkansas",135
0500000US05143,5143,"Washington County, Arkansas",3015
0500000US05145,5145,"White County, Arkansas",1065
0500000US05147,5147,"Woodruff County, Arkansas",80
0500000US05149,5149,"Yell County, Arkansas",235
0500000US06001,6001,"Alameda County, California",20792
0500000US06003,6003,"Alpine County, California",5
0500000US06005,6005,"Amador County, California",213
0500000US06007,6007,"Butte County, California",2915
0500000US06009,6009,"Calaveras County, California",226
0500000US06011,6011,"Colusa County, California",309
0500000US06013,6013,"Contra Costa County, California",13513
0500000US06015,6015,"Del Norte County, California",472
0500000US06017,6017,"El Dorado County, California",1811
0500000US06019,6019,"Fresno County, California",14136
0500000US06021,6021,"Glenn County, California",378
0500000US06023,6023,"Humboldt County, California",1698
0500000US06025,6025,"Imperial County, California",2910
0500000US06027,6027,"Inyo County, California",159
0500000US06029,6029,"Kern County, California",13700
0500000US06031,6031,"Kings County, California",2204
0500000US06033,6033,"Lake County, California",838
0500000US06035,6035,"Lassen County, California",342
0500000US06037,6037,"Los Angeles County, California",123625
0500000US06039,6039,"Madera County, California",2708
0500000US06041,6041,"Marin County, California",2905
0500000US06043,6043,"Mariposa County, California",315
0500000US06045,6045,"Mendocino County, California",954
0500000US06047,6047,"Merced County, California",4127
0500000US06049,6049,"Modoc County, California",138
0500000US06051,6051,"Mono County, California",55
0500000US06053,6053,"Monterey County, California",5987
0500000US06055,6055,"Napa County, California",1577
0500000US06057,6057,"Nevada County, California",753
0500000US06059,6059,"Orange County, California",38062
0500000US06061,6061,"Placer County, California",3656
0500000US06063,6063,"Plumas County, California",134
0500000US06065,6065,"Riverside County, California",30908
0500000US06067,6067,"Sacramento County, California",19770
0500000US06069,6069,"San Benito County, California",917
0500000US06071,6071,"San Bernardino County, California",32208
0500000US06073,6073,"San Diego County, California",40285
0500000US06075,6075,"San Francisco County, California",8455
0500000US06077,6077,"San Joaquin County, California",10624
0500000US06079,6079,"San Luis Obispo County, California",2526
0500000US06081,6081,"San Mateo County, California",9016
0500000US06083,6083,"Santa Barbara County, California",4994
0500000US06085,6085,"Santa Clara County, California",26001
0500000US06087,6087,"Santa Cruz County, California",3077
0500000US06089,6089,"Shasta County, California",1512
0500000US06091,6091,"Sierra County, California",9
0500000US06093,6093,"Siskiyou County, California",377
0500000US06095,6095,"Solano County, California",5246
0500000US06097,6097,"Sonoma County, California",5729
0500000US06099,6099,"Stanislaus County, California",7794
0500000US06101,6101,"Sutter County, California",1499
0500000US06103,6103,"Tehama County, California",556
0500000US06105,6105,"Trinity County, California",35
0500000US06107,6107,"Tulare County, California",7532
0500000US06109,6109,"Tuolumne County, California",365
0500000US06111,6111,"Ventura County, California",10795
0500000US06113,6113,"Yolo County, California",2426
0500000US06115,6115,"Yuba County, California",1386
0500000US08001,8001,"Adams County, Colorado",7499
0500000US08003,8003,"Alamosa County, Colorado",195
0500000US08005,8005,"Arapahoe County, Colorado",8798
0500000US08007,8007,"Archuleta County, Colorado",87
0500000US08009,8009,"Baca County, Colorado",35
0500000US08011,8011,"Bent County, Colorado",75
