Id,Id2,Geography,Now_Married,Widowed,Divorced,Never_Married
0500000US01001,1001,"Autauga County, Alabama",54.8,5.8,12.5,25
0500000US01003,1003,"Baldwin County, Alabama",53.8,7.4,12.8,23.7
0500000US01005,1005,"Barbour County, Alabama",41.5,8.1,13.9,33.3
0500000US01007,1007,"Bibb County, Alabama",49,8.1,12.3,27.9
0500000US01009,1009,"Blount County, Alabama",59,8,11.4,19.9
0500000US01011,1011,"Bullock County, Alabama",28.9,8.3,11.6,44.1
0500000US01013,1013,"Butler County, Alabama",43.4,10.2,12.1,31.6
0500000US01015,1015,"Calhoun County, Alabama",48.2,7.8,13.6,27.5
0500000US01017,1017,"Chambers County, Alabama",43.9,9.7,14.7,28.8
0500000US01019,1019,"Cherokee County, Alabama",62.1,7,11.1,16.4
0500000US01021,1021,"Chilton County, Alabama",54.4,7.4,11.8,24.5
0500000US01023,1023,"Choctaw County, Alabama",48.3,10,11,26.9
0500000US01025,1025,"Clarke County, Alabama",45.5,7.6,10.2,32.1
0500000US01027,1027,"Clay County, Alabama",52.3,9.1,12.6,22.8
0500000US01029,1029,"Cleburne County, Alabama",56.7,8.3,12.5,19.6
0500000US01031,1031,"Coffee County, Alabama",51,7.4,12.7,26.4
0500000US01033,1033,"Colbert County, Alabama",51.1,8,14,24.7
0500000US01035,1035,"Conecuh County, Alabama",47,11.3,8.2,30.2
0500000US01037,1037,"Coosa County, Alabama",44.7,10.7,14.9,26.4
0500000US01039,1039,"Covington County, Alabama",52.4,9.8,13.5,21.8
0500000US01041,1041,"Crenshaw County, Alabama",47.7,8.1,12.8,29.1
0500000US01043,1043,"Cullman County, Alabama",57.6,7.7,13,19.6
0500000US01045,1045,"Dale County, Alabama",50.6,7,13.8,26.2
0500000US01047,1047,"Dallas County, Alabama",33.4,9.4,12.2,40.9
0500000US01049,1049,"DeKalb County, Alabama",53.5,7.5,12.2,24.5
0500000US01051,1051,"Elmore County, Alabama",51,6.4,12.1,27.8
0500000US01053,1053,"Escambia County, Alabama",44,8.9,12.9,31.2
0500000US01055,1055,"Etowah County, Alabama",50.1,8.2,13.3,26.1
0500000US01057,1057,"Fayette County, Alabama",53.6,8.7,13.8,21.8
0500000US01059,1059,"Franklin County, Alabama",50.3,9.5,14.6,24.1
0500000US01061,1061,"Geneva County, Alabama",52.3,10.1,12.1,22.8
0500000US01063,1063,"Greene County, Alabama",30.9,10.8,14.4,39.2
0500000US01065,1065,"Hale County, Alabama",41.3,9.3,10.2,35.4
0500000US01067,1067,"Henry County, Alabama",53.1,8.2,12.5,23.6
0500000US01069,1069,"Houston County, Alabama",46.9,7.3,14.2,28.7
0500000US01071,1071,"Jackson County, Alabama",55.3,9,12.1,21.5
0500000US01073,1073,"Jefferson County, Alabama",43.9,6.9,13,33.7
0500000US01075,1075,"Lamar County, Alabama",61.6,9,11,16.3
0500000US01077,1077,"Lauderdale County, Alabama",52.4,8.1,12.1,26
0500000US01079,1079,"Lawrence County, Alabama",54.4,8.3,12.8,21.9
0500000US01081,1081,"Lee County, Alabama",43.6,4.3,10.2,40.1
0500000US01083,1083,"Limestone County, Alabama",54.6,6.3,11.7,25.5
0500000US01085,1085,"Lowndes County, Alabama",34.8,9.1,11.6,40.7
0500000US01087,1087,"Macon County, Alabama",29.7,7.6,10.5,48
0500000US01089,1089,"Madison County, Alabama",49.8,5.6,12.1,30.7
0500000US01091,1091,"Marengo County, Alabama",44.4,10,11.7,30.8
0500000US01093,1093,"Marion County, Alabama",57.6,8,10.8,20.8
0500000US01095,1095,"Marshall County, Alabama",52.7,8.2,12.7,24.4
0500000US01097,1097,"Mobile County, Alabama",44.8,7.1,12.9,32.2
0500000US01099,1099,"Monroe County, Alabama",45.8,8,11.1,31.1
0500000US01101,1101,"Montgomery County, Alabama",39.5,6.4,12.4,38.7
0500000US01103,1103,"Morgan County, Alabama",51.4,6.8,13.9,24.7
0500000US01105,1105,"Perry County, Alabama",27.8,11.4,11.7,45.3
0500000US01107,1107,"Pickens County, Alabama",43.8,9.2,12.8,30.8
0500000US01109,1109,"Pike County, Alabama",39.8,5.6,10.1,42.3
0500000US01111,1111,"Randolph County, Alabama",53.1,8.8,12.7,23.4
0500000US01113,1113,"Russell County, Alabama",44.1,7.5,12.6,31.8
0500000US01115,1115,"St. Clair County, Alabama",55.6,6.6,13.8,21
0500000US01117,1117,"Shelby County, Alabama",57.4,5.2,10.8,25.2
0500000US01119,1119,"Sumter County, Alabama",29,8.8,9.8,48.3
0500000US01121,1121,"Talladega County, Alabama",47,7.7,13.1,28.4
0500000US01123,1123,"Tallapoosa County, Alabama",50.2,8.5,12.5,26.4
0500000US01125,1125,"Tuscaloosa County, Alabama",42.1,5.5,9.9,40.7
0500000US01127,1127,"Walker County, Alabama",51,8.2,14.7,23
0500000US01129,1129,"Washington County, Alabama",52.4,6.9,13.3,25.3
0500000US01131,1131,"Wilcox County, Alabama",33.2,9.1,11.5,42.7
0500000US01133,1133,"Winston County, Alabama",52.7,9.7,14.6,20.8
0500000US02013,2013,"Aleutians East Borough, Alaska",51.2,3.2,9.3,33.7
0500000US02016,2016,"Aleutians West Census Area, Alaska",40.6,4.5,12.6,38.9
0500000US02020,2020,"Anchorage Municipality, Alaska",47.7,3.6,11.9,35.3
0500000US02050,2050,"Bethel Census Area, Alaska",39,4.3,6.5,47.3
0500000US02060,2060,"Bristol Bay Borough, Alaska",51.4,4.2,11.5,30.7
0500000US02068,2068,"Denali Borough, Alaska",48.4,0.7,13.4,36.3
0500000US02070,2070,"Dillingham Census Area, Alaska",40.7,5,8.7,43.5
0500000US02090,2090,"Fairbanks North Star Borough, Alaska",49.7,2.9,10.9,34.6
0500000US02100,2100,"Haines Borough, Alaska",55.3,3.1,13.8,26.9
0500000US02105,2105,"Hoonah-Angoon Census Area, Alaska",50.9,3.1,15.5,28.5
0500000US02110,2110,"Juneau City and Borough, Alaska",48.7,3.5,12.1,33.5
0500000US02122,2122,"Kenai Peninsula Borough, Alaska",51,4.6,13.7,28.8
0500000US02130,2130,"Ketchikan Gateway Borough, Alaska",48.1,4.4,15,30.8
0500000US02150,2150,"Kodiak Island Borough, Alaska",52.4,4.2,9.2,33.1
0500000US02158,2158,"Kusilvak Census Area, Alaska",32,5.1,3.6,57.1
0500000US02164,2164,"Lake and Peninsula Borough, Alaska",45.3,5.2,8.2,39.4
0500000US02170,2170,"Matanuska-Susitna Borough, Alaska",52.3,3.8,12.7,29.3
0500000US02180,2180,"Nome Census Area, Alaska",35.9,4.9,8.8,48.1
0500000US02185,2185,"North Slope Borough, Alaska",46.7,2.9,10.8,38.3
0500000US02188,2188,"Northwest Arctic Borough, Alaska",37.2,4,5.8,51.7
